"place","date","lfs_event","protocols_used"
"Sydney",2001-12-30,1,"Johnston2011"
"Sydney",2001-12-31,1,"Johnston2011"
"Sydney",2002-01-01,1,"Johnston2011"
"Sydney",2002-01-02,1,"Johnston2011"
"Sydney",2002-01-03,1,"Johnston2011"
"Sydney",2002-01-04,1,"Johnston2011"
"Sydney",2002-01-05,1,"Johnston2011"
"Sydney",2002-01-06,1,"Johnston2011"
"Sydney",2002-01-07,1,"Johnston2011"
"Sydney",2002-01-08,1,"Johnston2011"
"Sydney",2002-01-09,1,"Johnston2011"
"Sydney",2002-01-10,1,"Johnston2011"
"Sydney",2002-01-11,1,"Johnston2011"
"Sydney",2002-01-12,1,"Johnston2011"
"Sydney",2002-01-13,1,"Johnston2011"
"Sydney",2002-01-14,1,"Johnston2011"
"Sydney",2002-01-15,1,"Johnston2011"
"Sydney",2002-01-16,1,"Johnston2011"
"Sydney",2002-01-17,1,"Johnston2011"
"Sydney",2002-01-18,1,"Johnston2011"
"Sydney",2002-01-19,1,"Johnston2011"
"Sydney",2002-01-20,1,"Johnston2011"
"Sydney",2002-01-21,1,"Johnston2011"
"Sydney",2002-01-22,1,"Johnston2011"
"Sydney",2002-07-09,1,"Johnston2011"
"Sydney",2002-07-10,1,"Johnston2011"
"Sydney",2002-07-11,1,"Johnston2011"
"Sydney",2002-09-13,1,"Johnston2011"
"Sydney",2002-09-14,1,"Johnston2011"
"Sydney",2002-09-15,1,"Johnston2011"
"Sydney",2002-09-24,1,"Johnston2011"
"Sydney",2002-09-25,1,"Johnston2011"
"Sydney",2002-09-26,1,"Johnston2011"
"Sydney",2002-09-27,1,"Johnston2011"
"Sydney",2002-09-28,1,"Johnston2011"
"Sydney",2002-10-03,1,"Johnston2011"
"Sydney",2002-10-04,1,"Johnston2011"
"Sydney",2002-10-05,1,"Johnston2011"
"Sydney",2002-10-06,1,"Johnston2011"
"Sydney",2002-10-07,1,"Johnston2011"
"Sydney",2002-10-08,1,"Johnston2011"
"Sydney",2002-10-09,1,"Johnston2011"
"Sydney",2002-10-10,1,"Johnston2011"
"Sydney",2002-10-17,1,"Johnston2011"
"Sydney",2002-10-18,1,"Johnston2011"
"Sydney",2002-10-19,1,"Johnston2011"
"Sydney",2002-10-20,1,"Johnston2011"
"Sydney",2002-10-21,1,"Johnston2011"
"Sydney",2002-10-22,1,"Johnston2011"
"Sydney",2002-10-23,1,"Johnston2011"
"Sydney",2002-10-24,1,"Johnston2011"
"Sydney",2002-10-25,1,"Johnston2011"
"Sydney",2002-10-26,1,"Johnston2011"
"Sydney",2002-10-27,1,"Johnston2011"
"Sydney",2002-10-28,1,"Johnston2011"
"Sydney",2002-10-29,1,"Johnston2011"
"Sydney",2002-10-30,1,"Johnston2011"
"Sydney",2002-10-31,1,"Johnston2011"
"Sydney",2002-11-01,1,"Johnston2011"
"Sydney",2002-11-02,1,"Johnston2011"
"Sydney",2002-11-03,1,"Johnston2011"
"Sydney",2002-11-04,1,"Johnston2011"
"Sydney",2002-11-05,1,"Johnston2011"
"Sydney",2002-11-06,1,"Johnston2011"
"Sydney",2002-11-07,1,"Johnston2011"
"Sydney",2002-11-08,1,"Johnston2011"
"Sydney",2002-11-09,1,"Johnston2011"
"Sydney",2002-11-10,1,"Johnston2011"
"Sydney",2002-11-11,1,"Johnston2011"
"Sydney",2002-11-12,1,"Johnston2011"
"Sydney",2002-11-13,1,"Johnston2011"
"Sydney",2002-11-14,1,"Johnston2011"
"Sydney",2002-11-15,1,"Johnston2011"
"Sydney",2002-11-16,1,"Johnston2011"
"Sydney",2002-11-17,1,"Johnston2011"
"Sydney",2002-11-18,1,"Johnston2011"
"Sydney",2002-11-19,1,"Johnston2011"
"Sydney",2002-11-20,1,"Johnston2011"
"Sydney",2002-11-21,1,"Johnston2011"
"Sydney",2002-11-22,1,"Johnston2011"
"Sydney",2002-11-23,1,"Johnston2011"
